2,3,-1
7,8,-1
7,9,-1
6,7,-1
5,6,-1
5,10,-1
5,11,-1
4,5,-1
14,15,-1
14,9,-1
13,14,-1
12,13,-1
12,16,-1
12,17,-1
4,12,-1
2,4,-1
1,2,-1
21,1,-1
20,21,-1
22,4,-1
20,22,-1
19,20,-1
19,23,-1
25,1,-1
25,23,-1
24,25,-1
19,24,-1
18,19,-1
27,28,-1
32,33,-1
32,1,-1
31,32,-1
34,33,-1
34,4,-1
31,34,-1
35,33,-1
35,18,-1
31,35,-1
36,37,-1
36,9,-1
31,36,-1
30,31,-1
30,38,-1
30,39,-1
29,30,-1
42,43,-1
42,1,-1
41,42,-1
44,43,-1
44,4,-1
41,44,-1
45,43,-1
45,18,-1
41,45,-1
46,47,-1
46,9,-1
41,46,-1
40,41,-1
40,48,-1
40,49,-1
29,40,-1
27,29,-1
26,27,-1
53,26,-1
52,53,-1
54,29,-1
52,54,-1
51,52,-1
51,55,-1
57,26,-1
57,55,-1
56,57,-1
51,56,-1
50,51,-1
